,date,frequency,date_time,date_int
275,2014-01-13 21:00:00,0,2014-01-13 21:00:00,20140113210000
276,2014-01-13 22:00:00,0,2014-01-13 22:00:00,20140113220000
277,2014-01-13 23:00:00,0,2014-01-13 23:00:00,20140113230000
278,2014-01-14 00:00:00,0,2014-01-14 00:00:00,20140114000000
279,2014-01-14 01:00:00,0,2014-01-14 01:00:00,20140114010000
280,2014-01-14 02:00:00,0,2014-01-14 02:00:00,20140114020000
281,2014-01-14 03:00:00,0,2014-01-14 03:00:00,20140114030000
282,2014-01-14 04:00:00,0,2014-01-14 04:00:00,20140114040000
283,2014-01-14 05:00:00,0,2014-01-14 05:00:00,20140114050000
284,2014-01-14 06:00:00,0,2014-01-14 06:00:00,20140114060000
285,2014-01-14 07:00:00,0,2014-01-14 07:00:00,20140114070000
286,2014-01-14 08:00:00,0,2014-01-14 08:00:00,20140114080000
287,2014-01-14 09:00:00,0,2014-01-14 09:00:00,20140114090000
288,2014-01-14 10:00:00,0,2014-01-14 10:00:00,20140114100000
289,2014-01-14 11:00:00,2,2014-01-14 11:00:00,20140114110000
290,2014-01-14 12:00:00,1,2014-01-14 12:00:00,20140114120000
291,2014-01-14 13:00:00,3,2014-01-14 13:00:00,20140114130000
292,2014-01-14 14:00:00,2,2014-01-14 14:00:00,20140114140000
293,2014-01-14 15:00:00,0,2014-01-14 15:00:00,20140114150000
294,2014-01-14 16:00:00,2,2014-01-14 16:00:00,20140114160000
295,2014-01-14 17:00:00,0,2014-01-14 17:00:00,20140114170000
296,2014-01-14 18:00:00,0,2014-01-14 18:00:00,20140114180000
297,2014-01-14 19:00:00,0,2014-01-14 19:00:00,20140114190000
298,2014-01-14 20:00:00,0,2014-01-14 20:00:00,20140114200000
299,2014-01-14 21:00:00,0,2014-01-14 21:00:00,20140114210000
300,2014-01-14 22:00:00,0,2014-01-14 22:00:00,20140114220000
301,2014-01-14 23:00:00,0,2014-01-14 23:00:00,20140114230000
302,2014-01-15 00:00:00,0,2014-01-15 00:00:00,20140115000000
